,Location Type,Name,Latitude,Longitude,UTM Grid,Map,Notes,References,Links
57,Position,Camp Bugville,9.58272,105.95933,XR05695910,6128-2,"93rd Trans Co area at Soc Trang AF, previously Camp Shufly (see). Grid is Levinson Pool (121st AHC), for Joseph Levinson USA.",43,
0,Fire (Support)(Support Patrol) Base,Camp Bullmoose,16.0796,108.1428,BR504436,6736-4,ARVN/PF.,,A
1,Position,Camp Camelot,10.9195,106.8751,YT053074,6330-4,"402nd Transportation Co, 71st Transportation Bn, Long Binh Post. Grid from map.",43,A
2,Position,Camp Campbell,16.3908,107.6973,YD893138,6541-4,"Grid center mass from NMCB diagram. Phu Bai CB. Seabees, USMC aviation. For Stanley C. Campbell KNBC 25Aug66.","43, 584, 699",
3,SF,Camp Campbell-Kilgore,15.3924,108.7098,BT547027,6739-4,aka Chu Lai SF Camp. For Alexander Campbell Jr. and Larry W. Kilgore KIA 20Oct70.,43,
4,Position,Camp Caribou,13.77,109.22,CR0823,6836-4,"92nd ACo (CV-2 Caribou) area at Qui Nhon AB (grid). When the 92nd left Vietnam 1Jan67, its CV-2s were turned over to USAF andredesignated C-7As. This ended a long struggle pitting Army against the Air Force for control of fixed-wing transport aircraft.",43,
5,Fire (Support)(Support Patrol) Base,Camp Carroll,16.7683,106.9259,YD057546,6342-1,"2,3/12th Marines (105mm)(T) CP 1Aug68, 30Sep69.","211, 601",
6,Fire (Support)(Support Patrol) Base,Camp Carroll,16.7656,106.9268,YD058543,6342-1,"aka Artillery Plateau. A/8/4th Arty (175mm/8"")(SP) 1Feb68. For James J. Carroll KIA 5Oct66. Dedicated 10Nov66.","43, 726,  1/12 Marines CC",A
7,Fire (Support)(Support Patrol) Base,Camp Carroll,16.76615,106.92765,YD05895436,6342-1,"C/1/12th Marines (105mm)(T) 3Jun67, B battery (-) May67 (059544). Also listed 05795436 Jul67, typo, my opinion.",1/12 Marines CC,
8,Fire (Support)(Support Patrol) Base,Camp Carroll,16.7665,106.9287,YD060544,6342-1,1/12th Marines (105mm)(T) CP Jun68.,211,
9,Fire (Support)(Support Patrol) Base,Camp Carroll,16.7692,106.9287,YD060547,6342-1,"1/12th Marines (105mm)(T) CP, G-/3/12th Marines (105mm)(T), HB/8/26th Arty (CMR), M-/4/12th Marines (155mm)(SP) May67.",1/12 Marines CC,
10,Fire (Support)(Support Patrol) Base,Camp Carroll,16.7719,106.9287,YD060550,6342-1,aka Camp J. J. Carroll. 3/D/14th EBn Apr70.,AD872855,
11,Observation Post,Camp Carroll,16.7773,106.9288,YD060556,6342-1,E/2/3rd Marines OP on the northern periphery of Camp Carroll 13Dec66. Maybe OP Bravo (058557).,2/3 Marines CC,
12,Fire (Support)(Support Patrol) Base,Camp Carroll,16.76825,106.92881,YD06015459,6342-1,"A/1/12th Marines (105mm)(T) 28Dec66, B battery 27Jan67. Listing is 0601254594.",1/12 Marines CC,
13,Fire (Support)(Support Patrol) Base,Camp Carroll,16.76519,106.92889,YD06025426,6342-1,"W/1/12th Marines (4.2"") 21Oct67. Op Kingfisher. Listing is 06023.16, 54254.73.",1/12 Marines CC,
14,Fire (Support)(Support Patrol) Base,Camp Carroll,16.7674,106.92897,YD06035450,6342-1,"C/1/12th Marines (105mm)(T) 2Jun67, B/6/33rd Arty (105mm)(T) 16Jun68 (060545).","197, 1/12 Marines CC",
15,Fire (Support)(Support Patrol) Base,Camp Carroll,16.7674,106.9296,YD061545,6342-1,"CP,HB/1/12th Marines (105mm)(T), E/2/12th (155mm)(T), I/3/12th (105mm)(T) 17-31Oct66. Op Prairie.",1/12 Marines CC,
16,Fire (Support)(Support Patrol) Base,Camp Carroll,16.76794,106.92964,YD06105456,6342-1,"A/1/12th Marines (105mm)(T) 22Jan, C battery 29Jan, 17Feb, B-/1/40th Arty (105mm)(SP) 3Mar67.",1/12 Marines CC,
17,Fire (Support)(Support Patrol) Base,Camp Carroll,16.7692,106.9297,YD061547,6342-1,"M/4/12th Marines (155mm)(SP) CP Nov66, A/1/40th Arty (105mm)(SP) 28Feb67.","AD389461, 4/12 Marines CC",
18,Fire (Support)(Support Patrol) Base,Camp Carroll,16.76752,106.93005,YD06155451,6342-1,A/1/40th Arty (105mm)(SP) 8Mar67. Listing is 0614554514.,1/12 Marines CC,
19,Fire (Support)(Support Patrol) Base,Camp Carroll,16.77254,106.93025,YD06165507,6342-1,"5th 175mm GB (SP) 1-31Dec69, 1-13Feb70.",5 175 GB CC,
20,Fire (Support)(Support Patrol) Base,Camp Carroll,16.76757,106.93038,YD06185452,6342-1,"C/1/12th Marines (105mm)(T) 11Dec66, A/1/40th Arty (105mm)(SP) 28Feb67, 1/12th Marines. aka Artillery Plateau.",1/12 Marines CC,
21,Fire (Support)(Support Patrol) Base,Camp Carroll,16.7638,106.9305,YD062541,6342-1,2/26th Marines CP 1Jun68.,211,
22,Fire (Support)(Support Patrol) Base,Camp Carroll,16.7674,106.9306,YD062545,6342-1,"2/94th Arty (175mm/8"")(SP) CP Dec66, A/8/4th Arty (175mm/8"")(SP) 31Oct70. Closed 15 or 28Dec68. Also 062543.","43, 534, 584, AD510168, AD501738",A
23,Fire (Support)(Support Patrol) Base,Camp Carroll,16.7683,106.9306,YD062546,6342-1,"3rd MarDiv (fwd) Hq, 3/4th Marines CP Oct66, 2/94th Arty (175mm/8"")(SP) Jan67.","505, 584",
24,Fire (Support)(Support Patrol) Base,Camp Carroll,16.7692,106.9306,YD062547,6342-1,"1/12th Marines (105mm)(T) CP Nov66, A/1/40th Arty (105mm)(SP) Jan, 2/94th Arty (175mm/8"")(SP) Apr67.","505, 584, 699",
25,Fire (Support)(Support Patrol) Base,Camp Carroll,16.7701,106.9306,YD062548,6342-1,"1st 8"" HB CP, 1st 155mm GB CP, 2/94th Arty (175mm/8"")(SP) Oct66, 3rd Marines Hq Aug68.","211, 584",
26,Fire (Support)(Support Patrol) Base,Camp Carroll,16.771,106.9306,YD062549,6342-1,4th Marines Hq Jun68.,211,
27,Fire (Support)(Support Patrol) Base,Camp Carroll,16.7656,106.9315,YD063543,6342-1,"12th Marines Dec68, ARVN 1972.",MACV Tm 155 AAR 30Mar-1May72,
28,Fire (Support)(Support Patrol) Base,Camp Carroll,16.7728,106.9316,YD063544,6342-1,"aka LZ Ebony, Bell. G65th Arty (AW)(SP) 31Oct70, ARVN 54/3 ID Hq Mar72.","382, 602, AD515147, AD513335",
29,Fire (Support)(Support Patrol) Base,Camp Carroll,16.76738,106.93169,YD06325450,6342-1,"2/94th Arty (175mm)(SP) CP Apr67, I/3/12th Marines (105mm)(T) 5Jul67, 3rd MarDiv Arty Nov68. Also 063545 (584, 699).","533, AD386079, 1/12 Marines CC Jul67",
30,Fire (Support)(Support Patrol) Base,Camp Carroll,16.7683,106.9315,YD063546,6342-1,"3/12th Marines CP Sep, 1-2Nov66, HHB,B,C/2/94th Arty (175mm/8"")(SP) 1Aug67.","687, AD387399",
31,Fire (Support)(Support Patrol) Base,Camp Carroll,16.7692,106.9315,YD063547,6342-1,"3/7th Marines CP Oct66, 12th Marines Hq Jul68, 1/44th Arty (AW)(SP) Jan70.","AD508755, 666",
32,Fire (Support)(Support Patrol) Base,Camp Carroll,16.7701,106.9315,YD063548,6342-1,"aka FSB Tan Lam, OP 250, Comanche Hill. I/3/12th Marines (105mm)(T) 17Sep66, B-/6/27th Arty (175mm)(SP) 2Oct66, ARVN.","321, 322, 334, 584, 687",A B C D E F
33,Fire (Support)(Support Patrol) Base,Camp Carroll,16.7719,106.9316,YD063550,6342-1,3rd Marines Hq 1Aug68.,211,
34,Fire (Support)(Support Patrol) Base,Camp Carroll,16.7728,106.9316,YD063551,6342-1,"2/9th Marines CP 30Nov66, 3/9th 1May67 (699), C/1/44th Arty (AW)(SP) 31Jan68. Add Ref 584.","AD390026, AD502089, 1/12 Marines CC",
35,Fire (Support)(Support Patrol) Base,Camp Carroll,16.7746,106.9316,YD063553,6342-1,2/9th Marines CP 1Feb68.,"584, 694",
36,Fire (Support)(Support Patrol) Base,Camp Carroll,16.7647,106.9334,YD065542,6342-1,4th Marines Hq 1Feb68.,"694, HMM-262 AAR May68",
37,Fire (Support)(Support Patrol) Base,Camp Carroll,16.77622,106.93328,YD06485548,6342-1,"USMC CBR, May68, 1-/40th Arty (105mm)(SP) Oct68. Also 065555.","AD394061, AD500743, AD389943",
38,Fire (Support)(Support Patrol) Base,Camp Carroll,16.76817,106.93405,YD06575459,6342-1,"C/1/12th Marines (105mm)(T) 4Nov66. Also 066546, 3rd Marines Hq.","584, 1/12 Marines CC",
39,Fire (Support)(Support Patrol) Base,Camp Carroll,16.7646,106.9343,YD066542,6342-1,"3rd Marines Hq Apr67, 1/3rd Marines CP Feb68.","694, 699",
40,Fire (Support)(Support Patrol) Base,Camp Carroll,16.7656,106.9343,YD066543,6342-1,"3rd Marines Hq Apr67, 4th Marines 21Jan68. Op Lancaster.","533, 729",
41,Fire (Support)(Support Patrol) Base,Camp Carroll,16.7673,106.9362,YD068545,6342-1,,,
42,Fire (Support)(Support Patrol) Base,Camp Carroll,16.7655,106.9399,YD072543,6342-1,"C/6/27th Arty (USA)(175mm/8"")(SP) 6Dec66. vic Camp Carroll.",584,
43,Fire (Support)(Support Patrol) Base,Camp Carroll,16.77,106.94,YD072548,6342-1,"1,3/12th Marines (105mm)(T), 9th MT Bn CP 7Nov66. vic Carroll anyway, typo for 062548?. Not named in report.",584,
44,Fire (Support)(Support Patrol) Base,Camp Carroll,10.4401,106.8989,YS082543,6329-1,Rung Sat? Not likely. Maybe a typo for YD062543?,,
45,Heliport/pad,Camp Carroll POL Pad,16.7628,106.938,YD070540,6342-1,"2/12th Marines (105mm)(T) CP Jul, Aug68.","211, HMM-364 CC Apr68",
46,Position,Camp Carter,16.0304,108.2563,BT069739,6641-2,"MAG-16 Hq, 3rd Marines Hq. Marble Mtn AF, Da Nang. Also 063746. For Bruce W. Carter MOH KIA 7Aug69.","43, 1 MP Bn CC Apr69",
47,Position,Camp Castle,10.83,106.95,YS1498,6330-1,Camp Castle. 93nd EBn (Cnst) cantonment. WABTOC (prefab wooden hootches).,AD839091,
48,Position,Camp Charger,16.0444,108.1515,AT957756,6641-3,"Hill 32. 11th Marines Hq Apr67, Jun68, Feb69, 1st MarDiv Hq Aug68, 1st FAG 24Jun69. 196th LIB Hq ’72. Da Nang.","211, 601, 631, 699, 4/11 Marines CC",
49,Position,Camp Charger,16.0381,108.1535,AT959749,6641-3,"1st MarDiv Hq Jun68, 196th LIB Hq Apr72 (aka Charger Hill).","211, 601, 602, 1/46 Inf OPLAN 7-72",
50,Position,Camp Charlie,10.84,106.7187,XS883985,6330-4,See Camp Davies. Saigon Port.,,
51,Position,Camp Co Loa,10.8385,106.6803,XS841983,6330-4,ARVN artillery training school and compound near Go Vap northeast of TSN. Maybe aka Camp Nu Thanh (grid).,"693, AD534568",
52,Position,Camp Coker,,,,,"NMCB-3 quarry/rock crusher site, Phu Bai CB. For Douglas C. Coker KIA 30Aug67. Dedicated Jan68.",43,A
53,Position,Camp Connor,16.0145,108.1482,AT953723,6641-3,Probably Da Nang. 2/3rd Marines base Jan-Apr66 was Hill 70 (grid). For Peter S. Connor MOH DOW 8Mar66.,43,
54,SF,Camp Conroy,15.4379,107.795,ZC004084,6539-1,"Nung compound at Kham Duc and later A/70th EBn (Cbt) camp during the siege of 10-12May68.For Paul A. Conroy Jr. DOW 23Mar67. Grid from photo.","43, 637",A
55,Position,Camp Coryell,12.6818,108.0504,AQ801034,6634-3,155th AHC CP BMT City. For Michael N. Coryell KIA 30Oct66.,"43, 10 CAB History 68-70",
56,Position,Camp Crescenz,16.0427,108.1637,AT970754,6641-3,1/46th Inf CP 13Mar72.,1/46 FRAG 7-72,
0,Position,Camp Crescenz,16.0619,108.1669,AT973755,6641-3,"196th LIB Hq ’72, 1st MedBn Jun71. Listing is 973775. For Michael J. Crescenz MOH KIA 20Nov68.","43, III MAB CC",
1,Position,Camp Crescenz,16.0428,108.1684,AT975754,6641-3,"1st Med Bn CP 3Apr67, 1Feb68, 1st Hosp Co Jun68. Also 975755.","211, 584, 694, 699",
2,Position,Camp D-36,15.9604,108.4984,BT327658,6740-4,MACSOG SSPL facility on Paradise Island. Used for indoctrination of kidnapped DRV citizens. See Camps Phoenix and Dodo.,395,
3,Fire (Support)(Support Patrol) Base,Camp Dau Tieng,11.2818,106.3629,XT491472,6231-1,See FSB Dau Tieng.,,
4,Position,Camp Davies,10.76,106.73,XS8989,6330-4,"aka The Fish Market, then Camp/Tent City Charlie (at least one source Bravo), then Camp Davies. 506th Field Depot. Saigon Port. ForDavid M. Davies DOW 2Apr66. Contained Club McGeoger. Grid from map. On the Saigon River southeast of Saigon.",43,
5,Position,Camp Davis,,,,,"USMC FLC, Da Nang. Can’t confirm any Camp Davis in Da Nang. Maybe a mis-id of Camp Books, FLC Hq.",AD392622,A
6,Position,Camp Davis,13.84,109.08,BR9331,6836-4,"54th Transportation Bn compound 1967, Camp Addison, Qui Nhon. For a driver who was killed.",,A B
7,Fire (Support)(Support Patrol) Base,Camp Davis,16.5353,107.1043,YD250290,6442-3,Hill 380 (contour) aka Davis-Hill. C/1/77th Arty (105mm)(T) 3Oct68. Op Comanche Falls II.,"43, AD500295, 1/30 Arty History",
8,Fire (Support)(Support Patrol) Base,Camp Davis,16.5354,107.1074,YD253290,6442-3,"aka Davis-Hill, FSB Davis. 101st ABD Feb69-Jan70. 30km west of Camp Evans.","142, 273, 278, 458, 459, AD509216",
9,Position,Camp De Shurley,16.2862,107.8279,ZD027024,6541-1,"Near Phu Loc Quarry. Seabees, originally NMCB 9. 2/5th Marines CP 3Feb68. For George R. De Shurley KIA 31Mar68.","43, 5 Marines CC",
10,Fire (Support)(Support Patrol) Base,Camp Dell,11.0798,107.6799,YT932258,6531-3,"aka ESB (Engineering Support Base) Dell. 49th Inf Plt., Scout Dogs, 199th LIB. Tanh Linh AF. For Kenneth J. Dell KIA 5Nov68.","43, 31 EBn ORLL 30Apr71",
11,Fire (Support)(Support Patrol) Base,Camp Dell,11.0843,107.6818,YT934263,6531-3,TF D-/5/2nd Arty (AW)(SP) Apr71. Tanh Linh AF.,"551, 552, AD517427",
12,Position,Camp Delta,,,,,"Probably Project Delta, Det B-52.",,
13,Position,Camp Dempsey,10.05,105.76,WS8411,6129-2,Can Tho AF. See Dempsey Compound.,43,
14,Position,Camp Dexter,11.6379,108.9271,BN745870,6732-2,Originally Eagle’s Roost. 1/101st ABD Oct65. For Herbert J. Dexter KIA 18Sep65. Dedicated 6Apr66. Next to Phan Rang AB.,43,
15,Fire (Support)(Support Patrol) Base,Camp Di An,10.9032,106.7392,XT905055,6330-4,See FSB Di An. Also 908078.,,
16,Position,Camp Diamond,,,,,E/4/12th Inf 22Aug67.,4/12 DSJ,
17,Position,Camp Dillard,11.6246,108.2147,AN968862,6632-3,"aka Hansen-Gowers Quarry, Dillard Industrial Site (IWS). For John A. B. Dillard, CO USA Engineer Command, KIA 12May70.",43,
18,Fire (Support)(Support Patrol) Base,Camp Dillard,11.6211,108.2269,AN981858,6632-3,Site of Hansen-Gowers Quarry. 815th EBn (Cnst) cantonment. NE of Bao Loc. Also 985865.,"AD907855, AD872855",
19,Position,Camp Dockstader,,,,,C/3/6th Arty (105mm)(SP) compound (between An Khe and Pleiku?). For Randell L. Dockstader KIA 7Nov68.,43,
20,Position,Camp Dodo,15.9604,108.4984,BT327658,6740-4,MACSOG SSPL facility on Paradise Island. See also Camps D-36 and Phoenix.,395,
21,Fire (Support)(Support Patrol) Base,Camp Eagle,16.4175,107.6207,YD803166,6541-4,"1/83rd Arty (175mm/8"")(SP) CP Jun, Aug68, Sep69.","211, 601",
22,Fire (Support)(Support Patrol) Base,Camp Eagle,16.4015,107.6219,YD804148,6541-4,"Camp Eagle gate. Site named 10Mar68. Previously Gai Le CB (USMC), LZ Tombstone, LZ El Paso. Also 803148.","50, AD880293",
23,Fire (Support)(Support Patrol) Base,Camp Eagle,16.4138,107.6234,YD806162,6541-4,326th EBn CP 1Aug68.,211,
24,Fire (Support)(Support Patrol) Base,Camp Eagle,16.4147,107.6234,YD806163,6541-4,"G-/29th Arty (SLT) 31Jul69, G-/65th Arty (MG)(SP) Jan70.","AD505415, AD508755",
25,Fire (Support)(Support Patrol) Base,Camp Eagle,16.4156,107.6234,YD806164,6541-4,2/327th Inf (Aml) CP 3Mar69.,350,
26,Fire (Support)(Support Patrol) Base,Camp Eagle,16.4129,107.6243,YD807161,6541-4,"MB,B/1/11th Marines (105mm)(T)(4.2"") 12Apr66. Gai Le CB at this time.",682,
27,Fire (Support)(Support Patrol) Base,Camp Eagle,16.4138,107.6243,YD807162,6541-4,"Op Delaware Valley/Lam Son 216. 101st ABn CP 1Jun, 501st SBn CP, 326th EBn CP 1Aug68.","211, 628",
28,Fire (Support)(Support Patrol) Base,Camp Eagle,16.4138,107.6253,YD808162,6541-4,"101st ABD Hq Jun, D/1/1st Cav 1Aug68. Listing is Gai Le. D troop was the air element of 1/1st Cav.","211, 713",
29,Fire (Support)(Support Patrol) Base,Camp Eagle,16.4147,107.6253,YD808163,6541-4,"LZ El Paso. C/2/32nd Arty (175mm/8"")(SP) 31Jul69.","AD506149, AD390026, AD508206",
30,Fire (Support)(Support Patrol) Base,Camp Eagle,16.4129,107.6262,YD809161,6541-4,B-/1/44th Arty (AW)(SP) 31Jul69.,AD505415,
31,Fire (Support)(Support Patrol) Base,Camp Eagle,16.4147,107.6262,YD809163,6541-4,"HHS/8/4th Arty (175mm/8"")(SP) 16Apr68. Not Eagle yet.",,A
32,Fire (Support)(Support Patrol) Base,Camp Eagle,16.409,107.6269,YD810157,6541-4,"C/1/40th Arty (105mm)(SP) 17Sep69, A/377th Arty (ARA) CP Nov69.","AD508206, AD509216",
33,Fire (Support)(Support Patrol) Base,Camp Eagle,16.4065,107.628,YD811154,6541-4,,303,
34,Fire (Support)(Support Patrol) Base,Camp Eagle,16.412,107.6281,YD811160,6541-4,"1st Prov GB (-)(155mm)(T) 6Jun, 3Jul66. Gai Le CB at this time.","528, 684, 686",
35,Fire (Support)(Support Patrol) Base,Camp Eagle,16.4062,107.629,YD812154,6541-4,LZ Tombstone. Opened 17Jan68 by 1st ACD.,,
36,Fire (Support)(Support Patrol) Base,Camp Eagle,16.4083,107.629,YD812156,6541-4,2/11th Arty (155mm)(T) CP 1Nov68.,712,
37,Fire (Support)(Support Patrol) Base,Camp Eagle,16.411,107.629,YD812159,6541-4,Originally LZ El Paso. 1/321st (Abn) Arty (105mm)(T) Feb68.,AD392040,
38,Fire (Support)(Support Patrol) Base,Camp Eagle,16.4056,107.6299,YD813153,6541-4,"308th ABn CP Jun, 160th AGp Hq 1Aug68.",211,
39,Fire (Support)(Support Patrol) Base,Camp Eagle,16.4101,107.6299,YD813158,6541-4,Army Area Signal Center 16Apr68.,"211, Prov Corps OPLAN 3-68",
40,Fire (Support)(Support Patrol) Base,Camp Eagle,16.4182,107.6304,YD813167,6541-4,D/1/44th Arty (AW)(SP) 31Jan69.,AD502089,
41,Fire (Support)(Support Patrol) Base,Camp Eagle,16.4056,107.6308,YD814153,6541-4,"101st ID Arty Hq, 4/77th Arty (ARA), 2/320th (Aml) Arty (105mm)(T) Aug69.","AD508206, AD506149, AD509216",
42,Fire (Support)(Support Patrol) Base,Camp Eagle,16.3929,107.6315,YD815139,6541-4,I/3/12th Marines (105mm)(T) 9Dec65. Gai Le CB at this time.,"161, 527",
43,Fire (Support)(Support Patrol) Base,Camp Eagle,16.4011,107.6317,YD815148,6541-4,See Camp Rodriguez.,,
44,Fire (Support)(Support Patrol) Base,Camp Eagle,16.4056,107.6317,YD815153,6541-4,2/11th (Aml) Arty (155mm)(T) CP Nov69.,AD509216,
45,Fire (Support)(Support Patrol) Base,Camp Eagle,16.4074,107.6317,YD815155,6541-4,2/11th (Aml) Arty (155mm)(T) CP 1Feb69.,713,
46,Fire (Support)(Support Patrol) Base,Camp Eagle,16.4227,107.632,YD815172,6541-4,2/1st Inf CP 20Apr68.,2/1 Inf AAR Op Delaware,
47,Fire (Support)(Support Patrol) Base,Camp Eagle,16.411,107.6337,YD817159,6541-4,"101st ABD DivArty Hq 1Jun, 1st ACD DivArty Hq 1Aug68.","211, 601",
48,Fire (Support)(Support Patrol) Base,Camp Eagle,16.3983,107.6344,YD818145,6541-4,A/4/77th Arty (ARA) CP 1Feb69.,713,
49,Fire (Support)(Support Patrol) Base,Camp Eagle,16.411,107.6346,YD818159,6541-4,2/11th Arty (155mm)(T) CP 1Jun68.,211,
50,Fire (Support)(Support Patrol) Base,Camp Eagle,16.3938,107.6352,YD819140,6541-4,A/2/11th (Aml) Arty (155mm)(T) 10Aug69. Op Kentucky Jumper.,AD508206,
51,Fire (Support)(Support Patrol) Base,Camp Eagle,16.3974,107.6363,YD820144,6541-4,"HHB-/6/33rd Arty (105mm)(T) 26May68. Listing is Gai Le, 802144.",197,
52,Fire (Support)(Support Patrol) Base,Camp Eagle,16.4029,107.6362,YD820150,6541-4,"1/39th Arty (175mm/8"")(SP) Aug69.",AD508206,
53,Fire (Support)(Support Patrol) Base,Camp Eagle,16.3974,107.6391,YD823144,6541-4,2/320th (Aml) Arty (105mm)(T) 30Sep69.,601,
54,Fire (Support)(Support Patrol) Base,Camp Eagle,16.4001,107.6391,YD823147,6541-4,1/101st ABD Hq 30Sep69.,601,
55,Fire (Support)(Support Patrol) Base,Camp Eagle,16.4136,107.6393,YD823162,6541-4,"27th EBn CP, 45th EGp 1Aug68, HHB, SB/2/138th Arty (155mm)(SP) ’69.","211, 601",A
56,Fire (Support)(Support Patrol) Base,Camp Eagle,16.3974,107.64,YD824144,6541-4,MCB-3 25Jan68. Marine Construction Battalion. Also 830142.,5 Marines CC,A
57,Fire (Support)(Support Patrol) Base,Camp Eagle,16.4001,107.6401,YD824147,6541-4,"2/502nd Inf (Aml) CP 10Apr69, 2/327th Inf (Aml) CP 17Apr69.","211, 510",
0,Fire (Support)(Support Patrol) Base,Camp Eagle,16.4046,107.6401,YD824152,6541-4,"B/2/94th Arty (175mm/8"")(SP) 22Apr69. Listing is Gai Le.",510,
1,Fire (Support)(Support Patrol) Base,Camp Eagle,16.4073,107.6402,YD824155,6541-4,"aka FSB Gai Le. C/8/4th Arty (175mm/8"")(SP) 16Apr68.",,A
2,Fire (Support)(Support Patrol) Base,Camp Eagle,16.3982,107.641,YD825145,6541-4,1st MT Bn CP Jun68. Camp Wilkinson area.,211,
3,Fire (Support)(Support Patrol) Base,Camp Eagle,11.2975,106.7917,YD827137,6541-4,aka FSB Gai Le. Opened by 1st ACD Jan68. 101st ABD Hq Mar69. ARVN 1 ID DivArty Hq Mar72.,"602, 717, AD515147, AD508755",A B C D E F G
4,Fire (Support)(Support Patrol) Base,Camp Eagle,16.4045,107.6429,YD827152,6541-4,"B-/1/11th Marines (105mm)(T) 11Jan66 (Gai Le CB), HHB,SB/2/138th Arty (155mm)(SP) 1Nov68-31Jul69.","571, 572, 573, 590, 591",A
5,Fire (Support)(Support Patrol) Base,Camp Eagle,16.4027,107.6438,YD828150,6541-4,"A/1/83rd Arty (175mm/8"")(SP) 16Feb69. Listing is Gai Le.",713,
6,Fire (Support)(Support Patrol) Base,Camp Eagle,16.4018,107.6448,YD829149,6541-4,1/1st Cav Hq 28Feb68. Not Eagle yet.,1 Marines CC,
7,Fire (Support)(Support Patrol) Base,Camp Eagle,16.4028,107.6445,YD829150,6541-4,"1/83rd Arty (175mm/8"")(SP) CP Nov68, Jul69, 1/39th Arty (155mm)(SP)/(175mm/8"")(SP) Nov69. Add Ref 712, 713.","631, AD508206, AD506149, AD509216",
8,Fire (Support)(Support Patrol) Base,Camp Eagle,16.4036,107.6448,YD829151,6541-4,1st 155mm GB (-)(SP) 9-30Sep67.,4/12 Marines CC,
9,Fire (Support)(Support Patrol) Base,Camp Eagle,16.4054,107.6448,YD829153,6541-4,"3rd EBn BC, L-/4/12th Marines (155mm)(SP), 1st 155mm GB (-)(SP) 9May67.",4/12 Marines CC,
10,Fire (Support)(Support Patrol) Base,Camp Eagle,16.4027,107.6457,YD830150,6541-4,"C/2/138th Arty (155mm)(SP) 1-27Nov68, B/2/9th Arty (105mm)(T) 4May69.","572, AD505681",
11,Fire (Support)(Support Patrol) Base,Camp Eagle,16.3937,107.6465,YD831140,6541-4,2/320th (Abn) Arty (105mm)(T) CP 1Jun68. Listing is Gai Le.,211,
12,Fire (Support)(Support Patrol) Base,Camp Eagle,16.3982,107.6475,YD832145,6541-4,101st ABD TOC opened 6Mar68.,AD392520,
13,Fire (Support)(Support Patrol) Base,Camp Eagle,16.4009,107.6476,YD832148,6541-4,C/11th EBn CP 4Jan67.,699,
14,Fire (Support)(Support Patrol) Base,Camp Eagle,16.4045,107.6485,YD833152,6541-4,"27th EBn (Cbt) 12Apr68, Jul70.","AD392046, AD880293",
15,Fire (Support)(Support Patrol) Base,Camp Eagle,16.4072,107.6486,YD833155,6541-4,27th EBn (Cbt) CP Apr70.,AD872855,
16,Fire (Support)(Support Patrol) Base,Camp Eagle,16.3936,107.6493,YD834140,6541-4,2/320th (Aml) Arty (105mm)(T) CP 1Nov68.,712,
17,Fire (Support)(Support Patrol) Base,Camp Eagle,16.4035,107.6504,YD835151,6541-4,"A/1/83rd Arty (175mm/8"")(SP) 11Mar, A/1/40th Arty (105mm)(SP) 7Sep69.","713, AD503768, AD508206",
18,Fire (Support)(Support Patrol) Base,Camp Eagle,16.4072,107.6505,YD835155,6541-4,"3rd AT Bn (106mm)(SP) CP Feb, Aug68.","211, 694",
19,Fire (Support)(Support Patrol) Base,Camp Eagle,16.4044,107.656,YD841152,6541-4,"3rd TBn CP Apr67, Feb68.","694, 699",
20,Heliport/pad,Camp Eagle CB Pad,16.4026,107.6551,YD840150,6541-4,USN Construction Battalion (SeaBees).,323,
21,Heliport/pad,Camp Eagle Engineer Pad,16.4008,107.6522,YD837148,6541-4,,323,
22,Heliport/pad,Camp Eagle Heliport,16.4017,107.6268,YD810149,6541-4,"VH1-751, 115' msl. Seven pads varying in size. 809161 in 15Dec68 TAD.",TAD 15Jan70,
23,Fire (Support)(Support Patrol) Base,Camp Enari,13.8663,108.0276,AR792346,6636-4,Dragon Mountain Base Camp before being renamed Camp Enari 14May67. ARVN 47/22 ID Hq Mar72. Listing is 792246.,602,
24,Fire (Support)(Support Patrol) Base,Camp Enari,13.8672,108.0276,AR792347,6636-4,"D-/4/60th Arty (AW)(SP) 31Jan, 31Jul68.","413, 415",
25,Fire (Support)(Support Patrol) Base,Camp Enari,13.8681,108.0276,AR792348,6636-4,"Det 256 (Radar), 52nd AGp Apr69.",706,
26,Fire (Support)(Support Patrol) Base,Camp Enari,13.8645,108.0286,AR793344,6636-5,"5/16th Arty (155mm)(T)/(8"")(SP) CP 30Sep69.",601,
27,Fire (Support)(Support Patrol) Base,Camp Enari,13.8654,108.0286,AR793345,6636-4,D/4/60th Arty (AW)(SP) CP 31Jul68.,"50, 415, AD387685",
28,Fire (Support)(Support Patrol) Base,Camp Enari,13.8672,108.0285,AR793347,6636-4,"A/5/16th Arty (155mm)(T)/(8"")(SP) 5sep69.",AD508054,
29,Fire (Support)(Support Patrol) Base,Camp Enari,13.8681,108.0295,AR794348,6636-4,Signal position at Enari Arty Hill.,AD392678,
30,Fire (Support)(Support Patrol) Base,Camp Enari,13.8708,108.0303,AR795351,6636-4,B-/4/60th Arty (AW)(SP) 31Jan68.,"413, 415",
31,Fire (Support)(Support Patrol) Base,Camp Enari,13.8609,108.0314,AR796340,6636-4,"B/5/16th Arty (155mm)(T)/(8"")(SP) 7Oct69.",AD508054,
